,PartNumber,Inductance,SubCkt
2293,MSS1038-522,5.2uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-522;* Inductance = 5.2uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-60MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-522_imp port1 port2 PARAMS: Cpar=3.523pF Ind=5.2uH;X1 port1 port2 Model1D PARAMS:;+ R1=150;+ R2=0.022;+ C= {Cpar};+ K1=0.0001;+ K2=2.1;+ K3= {Ind};+ K4=0.04;+ K5=0.0000098;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=5298.37561;.ends MSS1038-522_imp
2294,MSS1038-702,7uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-702;* Inductance = 7uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-40MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-702_imp port1 port2 PARAMS: Cpar=2.888pF Ind=7uH;X1 port1 port2 Model1D PARAMS:;+ R1=230;+ R2=0.027;+ C= {Cpar};+ K1=0.0004;+ K2=4.8;+ K3= {Ind};+ K4=0.06;+ K5=0.0000098;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=7158.75235;.ends MSS1038-702_imp
2295,MSS1038-103,10uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-103;* Inductance = 10uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-40MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-103_imp port1 port2 PARAMS: Cpar=2.973pF Ind=10uH;X1 port1 port2 Model1D PARAMS:;+ R1=260;+ R2=0.035;+ C= {Cpar};+ K1=0.0003;+ K2=4.8;+ K3= {Ind};+ K4=0.078;+ K5=0.0000098;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=8165.09659;.ends MSS1038-103_imp
2296,MSS1038-123,12uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-123;* Inductance = 12uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-40MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-123_imp port1 port2 PARAMS: Cpar=3.745pF Ind=12uH;X1 port1 port2 Model1D PARAMS:;+ R1=210;+ R2=0.041;+ C= {Cpar};+ K1=0.0002;+ K2=5;+ K3= {Ind};+ K4=0.088;+ K5=0.00000985;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=8948.75404;.ends MSS1038-123_imp
2297,MSS1038-153,15uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-153;* Inductance = 15uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-30MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-153_imp port1 port2 PARAMS: Cpar=3.311pF Ind=15uH;X1 port1 port2 Model1D PARAMS:;+ R1=215;+ R2=0.05;+ C= {Cpar};+ K1=0.0002;+ K2=6.45;+ K3= {Ind};+ K4=0.12;+ K5=0.0000099;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=11863.9889;.ends MSS1038-153_imp
2298,MSS1038-183,18uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-183;* Inductance = 18uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-30MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-183_imp port1 port2 PARAMS: Cpar=3.144pF Ind=18uH;X1 port1 port2 Model1D PARAMS:;+ R1=215;+ R2=0.065;+ C= {Cpar};+ K1=0.0002;+ K2=6.75;+ K3= {Ind};+ K4=0.14;+ K5=0.0000099;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=13698.5109;.ends MSS1038-183_imp
2299,MSS1038-223,22uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-223;* Inductance = 22uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-30MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-223_imp port1 port2 PARAMS: Cpar=4.529pF Ind=22uH;X1 port1 port2 Model1D PARAMS:;+ R1=105;+ R2=0.073;+ C= {Cpar};+ K1=0.00025;+ K2=6.75;+ K3= {Ind};+ K4=0.15;+ K5=0.0000099;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=16540.3818;.ends MSS1038-223_imp
2300,MSS1038-273,27uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-273;* Inductance = 27uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-20MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-273_imp port1 port2 PARAMS: Cpar=4.954pF Ind=27uH;X1 port1 port2 Model1D PARAMS:;+ R1=125;+ R2=0.089;+ C= {Cpar};+ K1=0.00022;+ K2=10;+ K3= {Ind};+ K4=0.23;+ K5=0.00000998;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=19215.5391;.ends MSS1038-273_imp
2301,MSS1038-333,33uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-333;* Inductance = 33uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-20MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-333_imp port1 port2 PARAMS: Cpar=4.735pF Ind=33uH;X1 port1 port2 Model1D PARAMS:;+ R1=125;+ R2=0.093;+ C= {Cpar};+ K1=0.00025;+ K2=10;+ K3= {Ind};+ K4=0.23;+ K5=0.00000998;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=21126.7238;.ends MSS1038-333_imp
2302,MSS1038-393,39uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-393;* Inductance = 39uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-20MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-393_imp port1 port2 PARAMS: Cpar=3.895pF Ind=39uH;X1 port1 port2 Model1D PARAMS:;+ R1=140;+ R2=0.112;+ C= {Cpar};+ K1=0.0003;+ K2=11;+ K3= {Ind};+ K4=0.29;+ K5=0.00000995;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=24732.7743;.ends MSS1038-393_imp
2303,MSS1038-473,47uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-473;* Inductance = 47uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-20MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-473_imp port1 port2 PARAMS: Cpar=4.833pF Ind=47uH;X1 port1 port2 Model1D PARAMS:;+ R1=75;+ R2=0.128;+ C= {Cpar};+ K1=0.0005;+ K2=11.5;+ K3= {Ind};+ K4=0.57;+ K5=0.00000995;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=28091.3829;.ends MSS1038-473_imp
2304,MSS1038-563,56uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-563;* Inductance = 56uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-20MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-563_imp port1 port2 PARAMS: Cpar=4.76pF Ind=56uH;X1 port1 port2 Model1D PARAMS:;+ R1=65;+ R2=0.18;+ C= {Cpar};+ K1=0.0004;+ K2=14.7;+ K3= {Ind};+ K4=0.66;+ K5=0.00001;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=35619.287;.ends MSS1038-563_imp
2305,MSS1038-683,68uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-683;* Inductance = 68uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-20MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-683_imp port1 port2 PARAMS: Cpar=4.705pF Ind=68uH;X1 port1 port2 Model1D PARAMS:;+ R1=25;+ R2=0.213;+ C= {Cpar};+ K1=0.0007;+ K2=16.3;+ K3= {Ind};+ K4=0.842;+ K5=0.00000998;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=44117.0656;.ends MSS1038-683_imp
2306,MSS1038-823,82uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-823;* Inductance = 82uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-10MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-823_imp port1 port2 PARAMS: Cpar=3.969pF Ind=82uH;X1 port1 port2 Model1D PARAMS:;+ R1=130;+ R2=0.261;+ C= {Cpar};+ K1=0.00035;+ K2=24;+ K3= {Ind};+ K4=0.842;+ K5=0.0000101;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=47639.045;.ends MSS1038-823_imp
2307,MSS1038-104,100uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-104;* Inductance = 100uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-10MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-104_imp port1 port2 PARAMS: Cpar=3.82pF Ind=100uH;X1 port1 port2 Model1D PARAMS:;+ R1=30;+ R2=0.304;+ C= {Cpar};+ K1=0.00025;+ K2=24;+ K3= {Ind};+ K4=0.693;+ K5=0.0000101;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=63093.6797;.ends MSS1038-104_imp
2308,MSS1038-124,120uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-124;* Inductance = 120uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-10MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-124_imp port1 port2 PARAMS: Cpar=4.74pF Ind=120uH;X1 port1 port2 Model1D PARAMS:;+ R1=135;+ R2=0.38;+ C= {Cpar};+ K1=0.00005;+ K2=32;+ K3= {Ind};+ K4=0.7;+ K5=0.0000103;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=56482.6202;.ends MSS1038-124_imp
2309,MSS1038-154,150uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-154;* Inductance = 150uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-10MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-154_imp port1 port2 PARAMS: Cpar=4.185pF Ind=150uH;X1 port1 port2 Model1D PARAMS:;+ R1=30;+ R2=0.506;+ C= {Cpar};+ K1=0.00015;+ K2=32;+ K3= {Ind};+ K4=0.8;+ K5=0.0000103;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=75271.3653;.ends MSS1038-154_imp
2310,MSS1038-184,180uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-184;* Inductance = 180uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-10MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-184_imp port1 port2 PARAMS: Cpar=4.462pF Ind=180uH;X1 port1 port2 Model1D PARAMS:;+ R1=110;+ R2=0.582;+ C= {Cpar};+ K1=0.0005;+ K2=76;+ K3= {Ind};+ K4=0.76;+ K5=0.0000107;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=118975.573;.ends MSS1038-184_imp
2311,MSS1038-224,220uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-224;* Inductance = 220uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-10MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-224_imp port1 port2 PARAMS: Cpar=5.039pF Ind=220uH;X1 port1 port2 Model1D PARAMS:;+ R1=150;+ R2=0.756;+ C= {Cpar};+ K1=0.0005;+ K2=78;+ K3= {Ind};+ K4=1.31;+ K5=0.0000107;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=105361.999;.ends MSS1038-224_imp
2312,MSS1038-274,270uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-274;* Inductance = 270uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-10MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-274_imp port1 port2 PARAMS: Cpar=6.188pF Ind=270uH;X1 port1 port2 Model1D PARAMS:;+ R1=55;+ R2=0.926;+ C= {Cpar};+ K1=0.0004;+ K2=110;+ K3= {Ind};+ K4=1.04;+ K5=0.0000118;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=168807.788;.ends MSS1038-274_imp
2313,MSS1038-334,330uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-334;* Inductance = 330uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-10MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-334_imp port1 port2 PARAMS: Cpar=5.246pF Ind=330uH;X1 port1 port2 Model1D PARAMS:;+ R1=75;+ R2=1.09;+ C= {Cpar};+ K1=0.0005;+ K2=110;+ K3= {Ind};+ K4=1.03;+ K5=0.0000123;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=169908.789;.ends MSS1038-334_imp
2314,MSS1038-394,390uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-394;* Inductance = 390uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-6MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-394_imp port1 port2 PARAMS: Cpar=6.012pF Ind=390uH;X1 port1 port2 Model1D PARAMS:;+ R1=100;+ R2=1.141;+ C= {Cpar};+ K1=0.0005;+ K2=140;+ K3= {Ind};+ K4=1.52;+ K5=0.0000126;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=180470.826;.ends MSS1038-394_imp
2315,MSS1038-474,470uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-474;* Inductance = 470uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-6MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-474_imp port1 port2 PARAMS: Cpar=5.032pF Ind=470uH;X1 port1 port2 Model1D PARAMS:;+ R1=50;+ R2=1.243;+ C= {Cpar};+ K1=0.0007;+ K2=135;+ K3= {Ind};+ K4=1.69;+ K5=0.0000128;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=214666.88;.ends MSS1038-474_imp
2316,MSS1038-564,560uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-564;* Inductance = 560uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-4MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-564_imp port1 port2 PARAMS: Cpar=7.246pF Ind=560uH;X1 port1 port2 Model1D PARAMS:;+ R1=105;+ R2=1.696;+ C= {Cpar};+ K1=0.0006;+ K2=200;+ K3= {Ind};+ K4=2.9;+ K5=0.0000136;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=218095.229;.ends MSS1038-564_imp
2317,MSS1038-684,680uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-684;* Inductance = 680uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-4MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-684_imp port1 port2 PARAMS: Cpar=6.592pF Ind=680uH;X1 port1 port2 Model1D PARAMS:;+ R1=75;+ R2=1.926;+ C= {Cpar};+ K1=0.0005;+ K2=245;+ K3= {Ind};+ K4=3.73;+ K5=0.0000138;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=293202.976;.ends MSS1038-684_imp
2318,MSS1038-824,820uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-824;* Inductance = 820uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-3MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-824_imp port1 port2 PARAMS: Cpar=8.126pF Ind=820uH;X1 port1 port2 Model1D PARAMS:;+ R1=200;+ R2=2.596;+ C= {Cpar};+ K1=0.0006;+ K2=320;+ K3= {Ind};+ K4=3.75;+ K5=0.0000178;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=232897.184;.ends MSS1038-824_imp
2319,MSS1038-105,1000uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038-105;* Inductance = 1000uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-3MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038-105_imp port1 port2 PARAMS: Cpar=7.917pF Ind=1000uH;X1 port1 port2 Model1D PARAMS:;+ R1=210;+ R2=2.853;+ C= {Cpar};+ K1=0.0007;+ K2=400;+ K3= {Ind};+ K4=5.94;+ K5=0.000017;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=277137.114;.ends MSS1038-105_imp
2322,MSS1038T-152,1.5uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038T-152;* Inductance = 1.5uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-100MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038T-152_imp port1 port2 PARAMS: Cpar=2.036pF Ind=1.5uH;X1 port1 port2 Model1D PARAMS:;+ R1=190;+ R2=0.008;+ C= {Cpar};+ K1=0.00025;+ K2=0.36;+ K3= {Ind};+ K4=0.038;+ K5=0.0000095;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=1534.40643;.ends MSS1038T-152_imp
2323,MSS1038T-252,2.5uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038T-252;* Inductance = 2.5uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-80MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038T-252_imp port1 port2 PARAMS: Cpar=3.14pF Ind=2.5uH;X1 port1 port2 Model1D PARAMS:;+ R1=115;+ R2=0.01;+ C= {Cpar};+ K1=0.00015;+ K2=0.9;+ K3= {Ind};+ K4=0.038;+ K5=0.0000097;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=3095.2105;.ends MSS1038T-252_imp
2324,MSS1038T-382,3.8uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038T-382;* Inductance = 3.8uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-80MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038T-382_imp port1 port2 PARAMS: Cpar=3.616pF Ind=3.8uH;X1 port1 port2 Model1D PARAMS:;+ R1=100;+ R2=0.013;+ C= {Cpar};+ K1=0.00019;+ K2=1.1;+ K3= {Ind};+ K4=0.04;+ K5=0.0000097;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=4038.37522;.ends MSS1038T-382_imp
2325,MSS1038T-522,5.2uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038T-522;* Inductance = 5.2uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-60MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038T-522_imp port1 port2 PARAMS: Cpar=3.523pF Ind=5.2uH;X1 port1 port2 Model1D PARAMS:;+ R1=150;+ R2=0.022;+ C= {Cpar};+ K1=0.0001;+ K2=2.1;+ K3= {Ind};+ K4=0.04;+ K5=0.0000098;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=5298.37561;.ends MSS1038T-522_imp
2326,MSS1038T-702,7uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038T-702;* Inductance = 7uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-40MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038T-702_imp port1 port2 PARAMS: Cpar=2.888pF Ind=7uH;X1 port1 port2 Model1D PARAMS:;+ R1=230;+ R2=0.027;+ C= {Cpar};+ K1=0.0004;+ K2=4.8;+ K3= {Ind};+ K4=0.06;+ K5=0.0000098;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=7158.75235;.ends MSS1038T-702_imp
2327,MSS1038T-103,10uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038T-103;* Inductance = 10uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-40MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038T-103_imp port1 port2 PARAMS: Cpar=2.973pF Ind=10uH;X1 port1 port2 Model1D PARAMS:;+ R1=260;+ R2=0.035;+ C= {Cpar};+ K1=0.0003;+ K2=4.8;+ K3= {Ind};+ K4=0.078;+ K5=0.0000098;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=8165.09659;.ends MSS1038T-103_imp
2328,MSS1038T-123,12uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038T-123;* Inductance = 12uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-40MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038T-123_imp port1 port2 PARAMS: Cpar=3.745pF Ind=12uH;X1 port1 port2 Model1D PARAMS:;+ R1=210;+ R2=0.041;+ C= {Cpar};+ K1=0.0002;+ K2=5;+ K3= {Ind};+ K4=0.088;+ K5=0.00000985;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=8948.75404;.ends MSS1038T-123_imp
2329,MSS1038T-153,15uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038T-153;* Inductance = 15uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-30MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038T-153_imp port1 port2 PARAMS: Cpar=3.311pF Ind=15uH;X1 port1 port2 Model1D PARAMS:;+ R1=215;+ R2=0.05;+ C= {Cpar};+ K1=0.0002;+ K2=6.45;+ K3= {Ind};+ K4=0.12;+ K5=0.0000099;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=11863.9889;.ends MSS1038T-153_imp
2330,MSS1038T-183,18uH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : MSS1038T-183;* Inductance = 18uH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.1MHz-30MHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt MSS1038T-183_imp port1 port2 PARAMS: Cpar=3.144pF Ind=18uH;X1 port1 port2 Model1D PARAMS:;+ R1=215;+ R2=0.065;+ C= {Cpar};+ K1=0.0002;+ K2=6.75;+ K3= {Ind};+ K4=0.14;+ K5=0.0000099;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=13698.5109;.ends MSS1038T-183_imp
